Lowestoft / Lowestoft Monckton Ave from Sept 2007
Location 6543E 2946N 25m amsl to July 2007 & from Sept 2007 6530E 2938N 18m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1953  12    9.2     5.5       0    22.3    34.0
   1954   1    5.5     0.9      10    39.4    56.4
   1954   2    4.3    -0.1      10    46.1    53.8
   1954   3    8.5     2.3       4    50.5   101.0
   1954   4    9.9     3.8       1     9.4   184.9
   1954   5   14.0     7.5       0    41.0   214.3
   1954   6   17.2    10.5       0    54.1   176.8
   1954   7   18.8    10.9       0    44.5   156.1
   1954   8   19.0    11.6       0   124.0   147.0
   1954   9   17.5     9.3       0    32.7   166.6
   1954  10   15.9     9.1       1    40.5   114.7
   1954  11   10.8     4.3       2   108.7    72.3
   1954  12    9.3     3.6       5    39.1    72.6
   1955   1    4.6    -0.3       0    45.5    42.0
   1955   2    4.0    -0.7       0    44.5    71.3
   1955   3    6.5     0.0       0    39.2   164.8
   1955   4   12.4     5.0       0     9.7   167.5
   1955   5   13.3     5.8       0    41.0   177.3
   1955   6   16.7    10.1       0    52.9   201.7
   1955   7   19.2    12.2      12     6.4   228.2
   1955   8   20.5    13.8      19    38.3   209.0
   1955   9   19.5    10.9      14    31.9   166.3
   1955  10   13.9     6.3       1   112.1   154.2
   1955  11   10.6     5.9       1    15.0    58.0
   1955  12    9.0     2.6       5    31.4    64.9
   1956   1    6.1     0.8       9    85.6    65.9
   1956   2    1.9    -3.3      25    54.6    57.8
   1956   3    7.5     2.5       4    18.0   159.0
   1956   4    8.8     2.2       5    20.5   179.2
   1956   5   16.3     7.3       0    18.5   249.9
   1956   6   16.7     9.1       0    37.3   145.5
   1956   7   19.8    13.0       0    45.1   172.8
   1956   8   18.2    10.4       0    98.1   166.9
   1956   9   18.0    11.9       0    28.6   127.9
   1956  10   13.5     6.6       0    95.6   121.2
   1956  11    8.8     4.3       2    28.6    64.3
   1956  12    8.1     3.9       7    25.1    19.0
   1957   1    8.2     2.9       3    32.3    ---
   1957   2    8.4     2.6       8    56.8    73.9
   1957   3   11.1     5.9       0    42.6   106.3
   1957   4   11.1     5.3       0    12.5   167.3
   1957   5   13.6     6.6       0    35.2   214.0
   1957   6   18.2    10.2       0    49.4   290.5
   1957   7   20.4    13.3       0    56.9   165.8
   1957   8   19.3    12.5       0    44.3   174.3
   1957   9   16.6     9.7       0    83.6   115.1
   1957  10   14.6     8.1       0    33.8    83.8
   1957  11    9.4     5.3       1    37.0    69.9
   1957  12    7.1     2.4       6    45.6    62.6
   1958   1    5.8     1.0       8    55.7    44.8
   1958   2    8.0     1.3      10    79.0    65.0
   1958   3    5.8     0.6      11    40.4   145.3
   1958   4   10.2     3.5       3    28.8   162.3
   1958   5   14.9     7.5       0    71.5   205.1
   1958   6   16.3     9.9       0    81.4   162.7
   1958   7   19.6    12.5       0    52.9   199.3
   1958   8   20.0    12.9       0    58.9   152.0
   1958   9   18.6    13.0       0    47.1   168.1
   1958  10   14.4     8.7       0    50.0    99.1
   1958  11   10.0     5.3       0    27.0    45.5
   1958  12    7.9     2.7       0    77.0    44.2
   1959   1    4.8    -1.0      18    ---     95.1
   1959   2    6.9     2.0       1    ---     68.3
   1959   3    9.8     3.8       1    ---    127.4
   1959   4   12.4     5.8       0    ---    167.3
   1959   5   14.6     7.6       0    ---    236.8
   1959   6   19.6    10.4       0    ---    258.6
   1959   7   21.7    13.3       0    ---    304.9
   1959   8   21.8    14.1       0    ---    220.5
   1959   9   19.9    12.5       0    ---    197.5
   1959  10   16.1    10.0       0    ---    165.2
   1959  11   10.5     4.8       3    ---     61.8
   1959  12    8.6     3.5       2    ---     27.3
   1960   1    6.3     1.8      10    ---     31.8
