Ballypatrick Forest
Location 3176E 4386N (Irish Grid) 156m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1988  12    9.1     4.5    ---    102.9    22.9
   1989   1    8.7     3.4    ---     66.8    47.1
   1989   2    7.5     1.9    ---    115.9    79.5
   1989   3    8.8     2.0    ---    139.9   111.9
   1989   4    8.2     2.0    ---    169.9   145.2
   1989   5   13.9     5.5    ---     36.1   240.9
   1989   6   16.1     7.8    ---     66.1   204.6
   1989   7   19.9    10.9    ---     35.8   239.9
   1989   8   16.3    10.5    ---    107.7   119.7
   1989   9   15.0     8.5    ---     58.2    96.6
   1989  10   12.5     7.8    ---    184.5    71.6
   1989  11    8.3     4.5    ---     74.8    48.9
   1989  12    6.6     1.4    ---     ---     36.3
   1990   1    7.8     2.6    ---    158.7    49.0
   1990   2    7.6     2.3    ---    216.8    58.2
   1990   3    9.8     4.4    ---     66.3    90.5
   1990   4   10.2     3.0    ---     86.7   163.2
   1990   5   14.6     6.4    ---     52.4   225.7
   1990   6   14.4     8.1    ---    139.8   142.2
   1990   7   18.2    10.3    ---     86.5   224.4
   1990   8   17.0    11.4    ---    137.4   107.9
   1990   9   14.1     7.6    ---    105.7   107.7
   1990  10   12.5     7.9    ---     ---     81.5
   1990  11    8.5     3.9    ---    109.4    69.9
   1990  12    6.8     2.0    ---    131.5    31.6
   1991   1   ---     ---     ---    102.4    ---
   1991   2   ---     ---     ---     58.5    ---
   1991   3   ---     ---     ---     87.9    ---
   1991   4   ---     ---     ---    140.6    ---
   1991   5   ---     ---     ---     14.6    ---
   1991   6   ---     ---     ---    131.6    ---
   1991   7   ---     ---     ---    100.4    ---
   1991   8   ---     ---     ---     50.2    ---
   1991   9   ---     ---     ---     55.9    ---
   1991  10   ---     ---     ---    155.0    ---
   1991  11   ---     ---     ---    194.3    ---
   1991  12   ---     ---     ---    148.4    ---
   1992   1   ---     ---     ---     96.0    ---
   1992   2   ---     ---     ---     97.4    ---
   1992   3    8.5     3.3       2   179.6    ---
   1992   4    9.7    ---        0    56.8    ---
   1992   5   14.2    ---        0    66.4    ---
   1992   6   ---     ---        0    40.0    ---
   1992   7   16.7    ---        0   108.2    ---
   1992   8   15.7     9.7       0   111.5    ---
   1992   9   13.5     7.7       0    90.5    ---
   1992  10    9.3     4.6       0   116.5    ---
   1992  11    8.5     3.6       1   173.6    ---
   1992  12    6.3     2.1       8   102.1    ---
   1993   1   ---     ---     ---    152.0    ---
   1993   2    7.8     4.3       2    39.8    ---
   1993   3    8.6     3.1       4    72.4    ---
   1993   4   10.7     5.0       0   119.8    ---
   1993   5   12.6     6.0       0   204.8    ---
   1993   6   15.1     9.1       0    67.6    ---
   1993   7   15.1     9.5       0   131.8    ---
   1993   8   15.1     9.3       0    65.4    ---
   1993   9   14.1     7.9       0    94.2    ---
   1993  10   10.0     4.5       3    47.0    ---
   1993  11    7.9     3.2       6    76.2    ---
   1993  12    6.2     1.6       6   249.8    ---
   1994   1    6.6     1.7       4   194.0    ---
   1994   2    4.6     0.9      10   159.1    ---
   1994   3    8.3     2.8       0   121.2    ---
   1994   4    9.5     3.0       3    87.7    ---
   1994   5   12.6     5.4       0    30.7    ---
   1994   6   14.2     8.3       0    60.6    ---
   1994   7   ---     ---     ---     45.3    ---
   1994   8   16.4    10.0       0    69.8    ---
   1994   9   14.5     8.2       0    83.4    ---
   1994  10   12.0     6.9       0    96.2    ---
   1994  11   11.3     7.0       0   113.4    ---
   1994  12    7.9     3.0       4   156.4    ---
   1995   1    6.5    ---     ---    158.6    ---
   1995   2    7.4     2.3       2   122.6    ---
   1995   3    7.1     1.3      11   133.4    ---
   1995   4   ---      4.1       1    49.0    ---
   1995   5   12.8     6.4       1    74.2    ---
   1995   6   15.4     8.5       0    42.8    ---
   1995   7   18.5    11.3       0    86.4    ---
   1995   8   20.0    12.0       0    25.2    ---
   1995   9   14.9     9.0       0    96.8    ---
   1995  10   14.0     8.6       0   175.8    ---
   1995  11    9.9    ---     ---    155.8    ---
   1995  12    5.2     1.5       8    85.8    ---
   1996   1    6.6     3.5       4   159.8    ---
   1996   2    5.7    ---     ---    120.4    ---
   1996   3    6.3     2.0       5    61.2    ---
   1996   4   10.6     4.7       1   128.4    ---
   1996   5   ---     ---     ---     83.5    ---
   1996   6   15.7     8.4       0    44.6    ---
   1996   7   16.3    10.0       0    82.0    ---
   1996   8   16.4    11.2       0    97.2    ---
   1996   9   15.7    ---     ---     24.4    ---
   1996  10   13.1     8.1       0   143.4    ---
   1996  11    7.8     2.8       7   143.8    ---
   1996  12    6.0     2.1       7    70.4    ---
   1997   1    6.4     1.9       9    29.2    ---
   1997   2   ---      2.0       3   124.5    ---
   1997   3   10.0     4.2       3    71.4    ---
   1997   4   11.1     4.7       2    51.2    ---
   1997   5   13.5     6.2       0   101.6    ---
   1997   6   15.0    ---     ---     90.8    ---
   1997   7   18.1    10.9       0    68.2    ---
   1997   8   19.2    12.2       0    69.2    ---
   1997   9   15.2     9.2       0    61.6    ---
   1997  10   ---      7.3       1    82.7    ---
   1997  11   10.3     6.1       0   178.3    ---
   1997  12    8.2     3.9       3   159.0    ---
   1998   1    7.2     2.4       7    98.6    ---
   1998   2    9.9     5.4       1    62.8    ---
   1998   3    9.2     4.2       3    90.6    ---
   1998   4    8.8     3.5       4   136.2    ---
   1998   5   12.2     6.7       0    75.6    ---
   1998   6   14.4     7.9       0    79.6    ---
   1998   7   15.0    10.2       0   136.2    ---
   1998   8   16.0    10.2       0   112.2    ---
   1998   9   15.2    10.2       0   106.8    ---
   1998  10   ---     ---     ---    207.3    ---
   1998  11   ---     ---     ---    172.1    ---
   1998  12   ---     ---     ---    123.5    ---
   1999   1    6.4     2.0       7   148.0    ---
   1999   2    7.1     2.8       4   103.2    ---
