Waddington
Location 4988E 3653N 68m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1967   2    8.1     2.0       5    43.8    88.3
   1967   3   10.8     3.8       1    28.5   174.3
   1967   4   11.0     3.8       2    41.4   126.9
   1967   5   14.1     5.8       2   113.3   180.7
   1967   6   18.6     9.0       0    50.7   247.7
   1967   7   21.6    12.6       0    27.7   224.8
   1967   8   20.2    11.4       0    46.1   146.4
   1967   9   17.3     9.8       0    32.8   116.2
   1967  10   14.0     7.5       0   100.5   120.0
   1967  11    8.0     2.1       7    69.9    63.0
   1967  12    6.0     1.0      13    44.1    54.7
   1968   1    6.5     1.2      12    39.5    46.0
   1968   2    4.2    -0.8      18    16.6    52.8
   1968   3   10.4     2.4       7    16.6   113.2
   1968   4   13.0     3.6       7    49.1   206.4
   1968   5   13.8     5.5       0    47.9   172.2
   1968   6   19.1     9.9       0    48.4   200.7
   1968   7   18.3    10.8       0   114.8   109.0
   1968   8   19.1    11.4       0    65.7   141.2
   1968   9   17.3     9.9       0    84.1   113.5
   1968  10   15.0     9.6       0    51.8    66.9
   1968  11    8.3     3.9       1    81.6    48.3
   1968  12    4.2     0.3      14    30.2    38.0
   1969   1    7.4     2.5       7    58.6    27.3
   1969   2    2.5    -2.2      20    46.9    68.8
   1969   3    5.2     0.2      16    66.2    64.2
   1969   4   11.3     2.8       3    75.5   172.5
   1969   5   14.9     7.2       0    82.4   140.7
   1969   6   18.2     8.6       0    56.3   280.8
   1969   7   21.6    12.5       0    86.8   239.4
   1969   8   19.5    12.1       0    35.1   137.0
   1969   9   17.2     9.9       0    20.4   119.7
   1969  10   15.8     8.8       0    17.2    98.1
   1969  11    7.6     1.7      10   117.1    77.8
   1969  12    4.8     0.7      16    61.9    28.7
   1970   1    5.2     0.8      11    49.9    29.0
   1970   2    5.6    -0.2      13    49.8   112.0
   1970   3    6.5    -0.2      17    51.6   104.9
   1970   4   10.0     3.0       7    78.3   142.2
   1970   5   17.6     7.8       0     6.0   216.7
   1970   6   21.6    10.4       0    18.6   268.9
   1970   7   19.5    11.6       0    45.9   169.4
   1970   8   20.2    11.7       0    80.3   187.8
   1970   9   18.3    10.2       0    23.8   162.3
   1970  10   14.2     7.1       0    31.7   104.5
   1970  11    9.8     4.4       2   119.8    60.3
   1970  12    6.1     1.5      10    25.6    49.5
   1971   1    6.3     1.4      10    66.6    49.3
   1971   2    7.4     1.5       7    13.6    65.6
   1971   3    8.0     1.6      10    42.3   104.6
   1971   4   10.5     4.0       1    40.1   104.3
